128,3072,4,3072,0.0
256,6144,7,3072,1.0
384,9216,10,3072,1.1363636363636365
512,12288,13,3072,1.180327868852459
640,15360,17,3072,1.25
768,18432,20,3072,1.24
896,21504,23,3072,1.16
1024,24576,27,3072,1.09
1152,27648,30,3072,1.18
1280,30720,33,3072,1.07
1408,33792,36,3072,1.1
1536,36864,40,3072,1.47
1664,39936,43,3072,1.66
1792,43008,46,3072,1.71
1920,46080,50,3072,1.54
2048,49152,53,3072,1.65
2176,52224,56,3072,1.28
2304,55296,60,3072,1.25
2432,58368,63,3072,1.55
2560,61440,66,3072,1.68
2688,64512,69,3072,1.84
2816,67584,72,3072,1.94
2944,70656,76,3072,2.07
3072,73728,79,3072,2.1
3200,76800,82,3072,1.87
3328,79872,85,3072,1.68
3456,82944,88,3072,1.64
3584,86016,92,3072,1.52
3712,89088,95,3072,1.3
3840,92160,98,3072,1.3
3968,95232,101,3072,1.34
4096,98304,105,3072,1.66
4224,101376,108,3072,1.65
4352,104448,111,3072,2.01
4480,107520,114,3072,2.02
4608,110592,117,3072,2.26
4736,113664,121,3072,2.56
4864,116736,124,3072,2.3
4992,119808,127,3072,2.21
5120,122880,130,3072,2.07
5248,125952,133,3072,2.08
5376,129024,136,3072,2.43
5504,132096,139,3072,2.47
5632,135168,143,3072,2.48
5760,138240,146,3072,2.44
5888,141312,149,3072,2.54
6016,144384,152,3072,2.57
6144,147456,156,3072,2.03
6272,150528,159,3072,1.67
6400,153600,162,3072,1.71
6528,156672,165,3072,1.71
6656,159744,168,3072,1.72
6784,162816,171,3072,1.5
6912,165888,175,3072,1.78
7040,168960,178,3072,1.94
7168,172032,181,3072,1.99
7296,175104,184,3072,2.0
7424,178176,188,3072,1.86
7552,181248,191,3072,1.87
7680,184320,194,3072,1.66
7808,187392,197,3072,1.76
7936,190464,201,3072,1.85
8064,193536,204,3072,2.13
8192,196608,207,3072,2.18
8320,199680,210,3072,2.33
8448,202752,213,3072,2.69
8576,205824,216,3072,2.73
8704,208896,220,3072,2.59
8832,211968,223,3072,2.51
8960,215040,226,3072,2.26
9088,218112,229,3072,2.04
